City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
123,uyemskiy,75,RU,1571197114,93,64.47,40.85,35.6,2.24
124,sabha,24,LY,1571197114,63,27.03,14.43,67.19,9.47
125,magadan,54,RU,1571197114,46,59.56,150.8,33.53,11.4
126,loralai,0,PK,1571197115,19,30.37,68.6,64.49,2.95
127,marienburg,75,DE,1571197115,100,52.12,9.98,57.99,6.93
128,kawalu,99,ID,1571197115,72,-7.38,108.21,76.73,6.45
129,gillette,1,US,1571197116,80,44.29,-105.5,36.0,8.05
130,santa comba,90,ES,1571197116,100,43.03,-8.81,63.0,18.34
131,rudnogorsk,0,RU,1571197117,75,57.27,103.75,39.29,4.34
132,hermanus,31,ZA,1571197117,96,-34.42,19.24,55.99,4.0
133,bria,100,CF,1571197117,97,6.54,21.99,69.17,1.89
134,guangyuan,0,CN,1571197118,62,32.43,105.86,66.0,1.01
135,adrar,87,DZ,1571197118,25,27.87,-0.29,75.2,6.93
136,mitsamiouli,20,KM,1571197119,78,-11.38,43.28,77.0,3.36
137,lufilufi,90,WS,1571197119,100,-13.87,-171.6,77.0,16.11
138,almaznyy,0,RU,1571197119,86,48.03,40.04,41.0,2.24
139,hanna,100,CA,1571197119,71,51.64,-111.93,43.0,11.01
140,san-pedro,85,CI,1571197119,89,4.75,-6.64,77.27,10.29
141,hasaki,75,JP,1571197120,63,35.73,140.83,68.0,11.41
142,pevek,0,RU,1571197121,74,69.7,170.27,30.11,6.25
143,oranjemund,0,ZA,1571197121,85,-28.55,16.43,56.39,4.31
144,castro,62,CL,1571197122,97,-42.48,-73.76,43.43,2.85
145,dudinka,75,RU,1571197122,85,69.41,86.18,17.6,22.37
146,laibin,28,CN,1571197123,61,23.74,109.23,77.27,6.96
147,fairbanks,75,US,1571197123,46,64.84,-147.72,30.2,6.93
148,ponta do sol,94,BR,1571197123,57,-20.63,-46.0,70.97,4.35
149,lagunas,30,PE,1571197124,73,-5.23,-75.68,75.83,2.63
150,atar,63,MR,1571197124,40,20.52,-13.05,83.75,14.96
151,east london,0,ZA,1571197124,87,-33.02,27.91,57.2,4.7
152,san jose de rio tinto,100,HN,1571197124,97,14.93,-85.7,66.83,1.02
153,husavik,94,CA,1571197125,99,50.56,-96.99,37.0,5.99
154,vestmanna,100,FO,1571197125,71,62.16,-7.17,50.0,28.86
155,raudeberg,75,NO,1571197125,66,61.99,5.14,51.8,6.93
156,imbituba,90,BR,1571197126,93,-28.24,-48.67,64.4,5.82
157,rabo de peixe,75,PT,1571197126,88,37.8,-25.58,69.8,19.46
158,tual,32,ID,1571197127,76,-5.67,132.75,81.95,3.04
159,kaitangata,100,NZ,1571197127,71,-46.28,169.85,53.01,4.0
160,saint-pierre,75,FR,1571197127,93,48.95,4.24,52.0,12.75
161,havre-saint-pierre,20,CA,1571197128,79,50.23,-63.6,32.0,15.52
162,keetmanshoop,96,NA,1571197129,22,-26.57,18.15,77.0,11.41
163,bay roberts,90,CA,1571197129,87,47.58,-53.28,46.99,11.41
164,puerto ayora,0,EC,1571197130,89,-0.74,-90.35,68.0,1.99
165,kodiak,40,US,1571197130,63,39.95,-94.76,48.2,13.87
166,muros,90,ES,1571197130,100,42.77,-9.06,64.99,18.34
167,turayf,75,SA,1571197131,49,31.68,38.65,71.6,12.75
168,hokitika,63,NZ,1571197131,85,-42.72,170.96,54.59,19.75
169,tarakan,40,ID,1571197132,83,3.3,117.63,82.4,6.93
